procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  14168 117332  37672 1183276    0    0     0     0 2583  327  1 16 83  0  0
 0  0  14168 118676  37672 1183280    0    0     0     0 2816  419  0 18 82  0  0
 0  0  14168 118676  37680 1183280    0    0     0    16 2584  405  4 19 77  0  0
 0  0  14168 118676  37680 1183284    0    0     0     0 2909  387  1 18 81  0  0
 0  0  14168 118676  37680 1183284    0    0     0     0 3202  419  1 18 81  0  0
 0  0  14168 118676  37680 1183288    0    0     0     0 2290  403  4 14 82  0  0
 0  0  14168 118676  37680 1183288    0    0     0     0 2547  313  1 16 83  0  0
 0  0  14168 118668  37688 1183288    0    0     0    16 3112  372  3 22 74  1  0
 0  0  14168 118668  37688 1183292    0    0     0     0 3425  402  2 18 80  0  0
 0  0  14168 118676  37688 1183292    0    0     0     0 2180  306  0 12 88  0  0
 0  0  14168 118668  37688 1183296    0    0     0     0 3751  396  2 22 76  0  0
 0  0  14168 118676  37688 1183296    0    0     0    68 2181  286  0 14 86  0  0
 1  0  14168 118348  37696 1183300    0    0     0    28 3202  328  0 18 82  0  0
 0  0  14168 118676  37696 1183300    0    0     0     0 2968  357  2 22 76  0  0
 0  0  14168 118676  37696 1183304    0    0     0     0 2922  347  1 17 82  0  0
 0  0  14168 116180  37696 1183304    0    0     0     0 2352  311  1 17 82  0  0
 0  0  14168 118676  37696 1183308    0    0     0    12 2913  375  3 18 79  0  0
 0  0  14168 118676  37704 1183308    0    0     0    16 2985  347  1 17 81  1  0
 1  0  14168 116564  37704 1183308    0    0     0     0 2279  309  1 14 85  0  0
 0  0  14168 118668  37704 1183312    0    0     0     0 3487  375  1 23 76  0  0
 0  0  14168 118676  37704 1183312    0    0     0     0 2392  316  1 17 82  0  0
 1  0  14168 117364  37704 1183316    0    0     0     0 2651  358  0 18 82  0  0
 0  0  14168 118676  37712 1183316    0    0     0    16 2707  298  2 14 84  0  0
 0  0  14168 118676  37712 1183320    0    0     0     0 3072  323  1 21 78  0  0
 1  0  14168 116308  37712 1183320    0    0     0     0 2572  261  1 13 86  0  0
 0  0  14168 118676  37712 1183324    0    0     0     0 2782  316  0 17 83  0  0
 0  0  14168 118676  37712 1183324    0    0     0     0 3276  406  2 19 79  0  0
 0  0  14168 118392  37720 1183324    0    0     0    16 2514  384  2 18 80  0  0
 0  0  14168 118424  37728 1183328    0    0     0    44 2708  359  1 18 80  1  0
 0  0  14168 118424  37728 1183328    0    0     0     0 2370  294  2 13 85  0  0
 0  0  14168 118424  37728 1183332    0    0     0     0 2655  291  1 18 81  0  0
