procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2269100  52396 937888    0    0     0    16 4702  605  0  2 97  0  0
 0  0      0 2268112  52396 937896    0    0     0    88 6196  712  1  3 97  0  0
 1  0      0 2268872  52396 937896    0    0     0     0 5638  595  0  2 98  0  0
 1  0      0 2269552  52396 937900    0    0     0     0 5449  635  0  2 98  0  0
 0  0      0 2269032  52396 937904    0    0     0     0 4483  608  0  3 97  0  0
 0  0      0 2269064  52404 937896    0    0     0    28 4116  585  1  2 98  0  0
 1  0      0 2268488  52404 937908    0    0     0     0 5863  531  0  2 97  0  0
 0  0      0 2269344  52404 937912    0    0     0     0 5003  667  0  2 98  0  0
 1  0      0 2269464  52404 937916    0    0     0     0 2724  488  0  2 98  0  0
 1  0      0 2269424  52404 937916    0    0     0     0 3198  640  0  2 98  0  0
 0  0      0 2266040  52412 937912    0    0     0    16 4962  655  0  4 96  0  0
 0  0      0 2267784  52412 937924    0    0     0    60 6257  716  0  4 96  0  0
 1  0      0 2268432  52412 937924    0    0     0     0 6130  636  0  2 98  0  0
 0  0      0 2268928  52412 937928    0    0     0     0 5650  767  0  3 96  0  0
 0  0      0 2269144  52412 937928    0    0     0     0 4528  732  0  3 97  0  0
 1  0      0 2268616  52420 937932    0    0     0    16 6261  890  0  3 97  0  0
 0  0      0 2267940  52420 937936    0    0     0     0 6344  903  0  2 98  0  0
 0  0      0 2269444  52420 937940    0    0     0     0 6358  882  0  3 96  0  0
 0  0      0 2269828  52420 937944    0    0     0     0 4814  714  0  3 97  0  0
 0  0      0 2269412  52420 937948    0    0     0     0 6363  766  0  3 97  0  0
 0  0      0 2269092  52428 937948    0    0     0    16 6133  891  1  4 95  0  0
 0  0      0 2269484  52428 937956    0    0     0     0 6326  765  1  3 96  0  0
 0  0      0 2269020  52428 937956    0    0     0     0 5718  807  1  3 96  0  0
 1  0      0 2269476  52428 937960    0    0     0     0 3898  639  1  2 98  0  0
 0  0      0 2268932  52428 937964    0    0     0     0 4614  570  0  2 98  0  0
 0  0      0 2268668  52428 937964    0    0     0     0 6407  795  0  2 98  0  0
 0  0      0 2269364  52436 937964    0    0     0    16 5831  819  1  2 97  0  0
 0  0      0 2268684  52436 937972    0    0     0     0 5197  692  0  2 97  0  0
 0  0      0 2268256  52436 937972    0    0     0     0 6276  709  0  2 98  0  0
 0  0      0 2267704  52436 937976    0    0     0     0 5608  726  0  2 98  0  0
 0  0      0 2269868  52436 937980    0    0     0     0 4688  555  0  1 98  0  0
 0  0      0 2269740  52444 937980    0    0     0    16 6020  725  0  2 98  0  0
 0  0      0 2269324  52444 937984    0    0     0    92 5049  750  0  3 97  0  0
 0  0      0 2269528  52444 937988    0    0     0     0 5434  693  0  2 98  0  0
 0  0      0 2270008  52444 937992    0    0     0     0 4885  617  0  2 98  0  0
 0  0      0 2268268  52444 937992    0    0     0     0 3258  674  0  2 98  0  0
 1  0      0 2268012  52452 937996    0    0     0    28 6188  657  0  2 98  0  0
